points,Y,X
1,46.71978611,6.215529581
2,46.75431306,6.302352524
3,46.77633998,6.283058536
4,46.8027604,6.298064971
5,46.86289182,6.35165938
6,46.88633949,6.36880959
7,46.95515778,6.399894348
8,47.03338593,6.528520929
9,47.12900467,6.796492973
10,47.25428934,6.952988646
11,47.3001045,7.013014384
12,47.3298994,7.135209636
13,47.35314229,7.170581946
14,47.3437011,7.063393128
15,47.31682078,6.825433953
16,47.36330784,6.757904998
17,47.43586193,6.790061644
18,47.47427509,6.769695768
19,47.44311184,6.597121772
20,47.33934306,6.361306373
21,47.3001045,6.242326786
22,47.2797471,6.13406608
23,47.23609773,6.070824678
24,47.19969576,5.979714183
25,47.1698275,5.808212075
26,47.14212971,5.676369829
27,47.08231161,5.512370938
28,47.0815817,5.515586603
29,46.92881229,5.36445037
30,46.9141703,5.096478326
